withdef.1	anger#n#1	merge
withdef.2	aid#n#1	merge
withdef.3	sexual_intercourse#n#1	merge
withdef.4	street_name#n#2	merge
withdef.5	cellphone#n#1	attach
withdef.6	mealtime#n#1	merge
withdef.7	fool#n#1	attach
withdef.8	cakehole#n#1	merge
withdef.9	sexual_arousal#n#1	attach
withdef.10	anabolic_steroid#n#1	merge
withdef.11	fancy#n#3	merge
withdef.12	charm#n#1	attach
withdef.13	knife#n#2	attach
withdef.14	beating#n#2	merge
withdef.15	party#n#2	attach
withdef.16	lot#n#1	merge
withdef.17	satisfaction#n#1	attach
withdef.18	regular#n#1	attach
withdef.19	nitrazepam#n#1	attach
withdef.20	buttocks#n#1	merge
withdef.21	freebie#n#1	attach
withdef.22	motorcycle#n#1	attach
withdef.23	money#n#1	attach
withdef.24	moolah#n#1	merge
withdef.25	opiate#n#1	attach
withdef.26	merchandise#n#1	merge
withdef.27	beating#n#2	merge
withdef.28	information_processing_system#n#1	attach
withdef.29	diamond#n#1	merge
withdef.30	tattoo#n#2	merge
withdef.31	motorcycle#n#1	attach
withdef.32	drug_user#n#1	attach
withdef.33	radical#n#3	attach
withdef.34	ban#n#1	attach
withdef.35	adulteress#n#1	attach
withdef.36	woman#n#1	attach
withdef.37	drug_user#n#1	attach
withdef.38	woman#n#1	attach
withdef.39	moolah#n#1	attach
withdef.40	drug_user#n#1	attach
withdef.41	loser#n#2	attach
withdef.42	girl#n#5	merge
withdef.43	fathead#n#1	merge
withdef.44	playboy#n#1	merge
withdef.45	champagne#n#1	attach
withdef.46	drug_user#n#1	attach
withdef.47	cop#n#1	attach
withdef.48	kiss#n#1	merge
withdef.49	miscreant#n#1	attach
withdef.50	gangsta#n#1	attach
withdef.51	destroy#v#2	merge
withdef.52	bear#v#9	merge
withdef.53	acquire#v#1	merge
withdef.54	paint#v#2	attach
withdef.55	thwart#v#1	attach
withdef.56	gulp#v#1	merge
withdef.57	ace#v#1	merge
withdef.58	perform#v#1	attach
withdef.59	flirt#v#1	merge
withdef.60	wolf#v#1	merge
withdef.61	operate#v#7	attach
withdef.62	unclothe#v#3	attach
withdef.63	vomit#v#1	merge
withdef.64	punch#v#1	merge
withdef.65	ruin#v#1	attach
withdef.66	smoke#v#1	attach
withdef.67	show_off#v#1	merge
withdef.68	swipe#v#2	merge
withdef.69	imbibe#v#3	attach
withdef.70	relax#v#1	merge
withdef.71	edit#v#1	attach
withdef.72	astonish#v#1	merge
withdef.73	laugh#v#1	merge
withdef.74	demolish#v#3	merge
withdef.75	sap#n#1	merge
withdef.76	belt#n#2	attach
withdef.77	ice#n#1	attach
withdef.78	station_of_the_cross#n#1	merge
withdef.79	enterprise#n#2	attach
withdef.80	band#n#5	attach
withdef.81	situation#n#3	attach
withdef.82	bedroom#n#1	merge
withdef.83	bulk#n#1	attach
withdef.84	tone#n#3	attach
withdef.85	acceleration#n#2	attach
withdef.86	tv_program#n#1	merge
withdef.87	carful#n#1	merge
withdef.88	musical_style#n#1	attach
withdef.89	species#n#2	merge
withdef.90	accommodation#n#4	attach
withdef.91	serial#n#1	attach
withdef.92	excess#n#1	attach
withdef.93	member#n#1	attach
withdef.94	performer#n#1	attach
withdef.95	visit#n#1	attach
withdef.96	drum#n#1	attach
withdef.97	beverage#n#1	attach
withdef.98	cause#n#3	attach
withdef.99	area#n#5	attach
withdef.100	lover#n#2	merge
withdef.101	program#n#1	attach
withdef.102	latrodectus#n#1	merge
withdef.103	holiday#n#2	merge
withdef.104	grave#n#1	merge
withdef.105	flow#n#1	attach
withdef.106	season#n#1	attach
withdef.107	dosage#n#1	merge
withdef.108	offering#n#4	merge
withdef.109	trustee#n#2	merge
withdef.110	gun_chamber#n#1	merge
withdef.111	deed#n#2	attach
withdef.112	training#n#1	attach
withdef.113	belief#n#1	attach
withdef.114	sport#n#1	attach
withdef.115	difference#n#2	merge
withdef.116	formation#n#1	attach
withdef.117	distance#n#3	attach
withdef.118	adorn#v#1	merge
withdef.119	meld#v#3	attach
withdef.120	attend#v#4	merge
withdef.121	lie_dormant#v#1	merge
withdef.122	teach#v#1	attach
withdef.123	divide#v#1	attach
withdef.124	accumulate#v#2	merge
withdef.125	beat#v#2	attach
withdef.126	write#v#10	merge
withdef.127	announce#v#2	merge
